"Category","Min-Temperature","Mean-Temperature","Max-Temperature","Precipitation"
"Jan",-12.56,-7.7,-2.89,28.91
"Feb",-10.72,-5.83,-0.97,27.02
"Mar",-5.89,-0.81,4.27,44.35
"Apr",0.87,6.71,12.57,56.7
"May",5.63,11.82,18.06,89.33
"Jun",9.15,16,22.89,76.28
"Jul",13.15,20.24,27.39,53.07
"Aug",12.86,20.14,27.47,38.01
"Sep",8.25,15.58,22.97,38.04
"Oct",2.38,9.03,15.73,44.06
"Nov",-2.83,2.32,7.48,40.47
"Dec",-9.08,-4.51,0.03,24.2
