"Category","Min-Temperature","Mean-Temperature","Max-Temperature","Precipitation"
"Jan",-11,-6.36,-1.76,26.22
"Feb",-9.51,-4.7,0.08,28.87
"Mar",-3.91,1.21,6.33,46.65
"Apr",1.89,7.67,13.47,68.51
"May",6.29,12.26,18.27,86.93
"Jun",10.45,17.13,23.86,70.2
"Jul",13.99,20.86,27.78,56.01
"Aug",13.82,20.89,28,34.52
"Sep",9.11,16.22,23.37,35.11
"Oct",3.37,9.71,16.1,40.76
"Nov",-2.86,2.4,7.67,34.74
"Dec",-8.12,-3.77,0.55,25.24
