"Category","Min-Temperature","Mean-Temperature","Max-Temperature","Precipitation"
"Jan",-11.99,-7.31,-2.67,24.53
"Feb",-10.47,-5.72,-1,29.6
"Mar",-4.91,0.17,5.26,43.17
"Apr",1.6,7.33,13.1,63.17
"May",5.74,11.83,17.96,87.36
"Jun",9.31,16.05,22.84,74.59
"Jul",13.35,20.33,27.36,47.23
"Aug",12.63,19.74,26.9,37.28
"Sep",8.22,15.51,22.85,31.31
"Oct",2.23,8.63,15.07,44.03
"Nov",-2.75,2.5,7.75,33.55
"Dec",-8.07,-3.73,0.59,26.02
