DATE,Number of Days_Percip_>=.01,Number of Days_Percip_>=.10,Number of Days_Percip_>=1.0,Number of Days_Min <= 0,Number of Days_Min <= 32,Number of Days_Max <= 32,Number of Days_Max >= 70,Number of Days_Max >= 90,Lowest Temp,Highest Temp,Mean Temp,Total Precipitation
1998-06,6,2,0,0,0,0,30,13,9.5,38.3,24.85,22.4
1998-07,4,2,0,0,0,0,30,23,9.8,38.1,26.16,21.8
1998-08,1,1,0,0,0,0,31,23,12.8,41.2,26.82,4
1998-09,1,0,0,0,0,0,30,6,8.8,37.3,21.39,0.3
1998-10,3,1,0,0,0,0,21,0,4,29,16.1,8.1
1998-11,8,3,0,0,0,0,0,0,1.2,20.5,10.32,28.5
1998-12,3,0,0,0,18,1,1,0,-4,21.4,4.64,3.1
1999-01,1,0,0,0,29,0,0,0,-7,12.1,1.58,1.2
1999-02,7,2,0,0,14,0,0,0,-6.5,13,4.79,12.6
1999-03,8,3,0,0,5,0,0,0,-3.7,19.4,7.9,24.5
1999-04,9,4,0,0,0,0,7,0,2,26.5,12.89,27.5
1999-05,9,5,0,0,0,0,26,0,2.2,31.9,17.64,32.3
1999-06,12,2,0,0,0,0,30,3,12.5,34.2,22.38,22
1999-07,,,,0,0,0,31,18,14.4,36.5,25.87,
1999-08,2,0,0,0,0,0,31,26,13.3,40,28.42,1.3
1999-09,3,3,0,,,,,,,,,30.6
1999-10,5,3,0,0,0,0,15,0,2.9,30.5,14.96,20.1
1999-11,7,1,0,0,9,0,0,0,-6.1,16.1,7.08,10.9
1999-12,2,1,0,0,25,0,0,0,-5.2,15,2.48,5.6
2000-01,11,2,0,0,28,18,0,0,-10.8,10.5,-1.46,35.6
2000-02,4,1,0,0,25,0,0,0,-9.2,12.3,0.06,5.2
2000-03,3,1,0,0,18,0,0,0,-9.6,17.8,5.22,7.1
2000-04,7,2,0,0,0,0,16,0,0.7,25.6,15.11,25.7
2000-05,7,4,0,0,0,0,24,1,1.1,36.9,16.84,46.7
2000-06,1,0,0,0,0,0,30,9,8,36,22.59,0.8
2000-07,2,0,0,0,0,0,31,30,15.8,39.9,29.54,3.6
2000-08,1,1,0,0,0,0,31,24,5.1,40.4,26.88,5.5
2000-09,2,0,0,0,0,0,30,4,10.4,34,22.11,1.6
2000-10,5,4,0,0,0,0,11,0,4,25.3,13.46,36.4
2000-11,1,0,0,0,8,0,0,0,-0.8,16.6,7.23,1.9
2000-12,6,3,0,0,22,2,0,0,-6,9.4,1.25,35.5
