Date/Time, Wind Speed
2-15-16 12:00 AM,4
2-16-16 12:00 AM,2.2
2-16-16 12:00 AM,1.8
2-16-16 12:00 AM,4.5
2-16-16 12:00 AM,4
2-17-16 12:00 AM,2.7
2-17-16 12:00 AM,1.8
2-17-16 12:00 AM,3.6
2-17-16 12:00 AM,3.6
2-18-16 12:00 AM,0
2-18-16 12:00 AM,4.9
2-18-16 12:00 AM,1.3
2-18-16 12:00 AM,0
2-19-16 12:00 AM,2.7
2-19-16 12:00 AM,4
2-19-16 12:00 AM,1.8
2-20-16 12:00 AM,1.8
2-20-16 12:00 AM,1.8
2-20-16 12:00 AM,1.3
2-20-16 12:00 AM,1.8
2-21-16 12:00 AM,3.6
2-21-16 12:00 AM,0
2-21-16 12:00 AM,2.7
2-22-16 12:00 AM,2.7
2-22-16 12:00 AM,0
2-22-16 12:00 AM,2.2
2-22-16 12:00 AM,4
2-23-16 12:00 AM,1.8
2-23-16 12:00 AM,1.8
2-23-16 12:00 AM,2.2
2-23-16 12:00 AM,0
2-24-16 12:00 AM,1.3
2-24-16 12:00 AM,0
2-24-16 12:00 AM,1.3
2-24-16 12:00 AM,1.3
2-25-16 12:00 AM,2.7
2-25-16 12:00 AM,0
2-25-16 12:00 AM,3.1
2-25-16 12:00 AM,0
2-26-16 12:00 AM,0.4
2-26-16 12:00 AM,5.8
2-26-16 12:00 AM,4.5
2-27-16 12:00 AM,5.4
2-27-16 12:00 AM,1.3
2-27-16 12:00 AM,1.8
2-27-16 12:00 AM,5.4
2-28-16 12:00 AM,0.4
2-28-16 12:00 AM,1.3
2-28-16 12:00 AM,0
2-29-16 12:00 AM,1.3
2-29-16 12:00 AM,0
2-29-16 12:00 AM,3.6
3-3-16 12:00 AM,0.4
3-3-16 12:00 AM,0
3-3-16 12:00 AM,0
3-3-16 12:00 AM,0
4-3-16 12:00 AM,0.9
4-3-16 12:00 AM,0
11-3-16 12:00 AM,1.8
11-3-16 12:00 AM,2.2
11-3-16 12:00 AM,1.3
11-3-16 12:00 AM,0
12-3-16 12:00 AM,0
12-3-16 12:00 AM,1.3
12-3-16 12:00 AM,1.8
12-3-16 12:00 AM,2.7
3-13-16 12:00 AM,1.3
3-13-16 12:00 AM,1.3
3-13-16 12:00 AM,4.9
3-14-16 12:00 AM,3.6
3-14-16 12:00 AM,2.7
3-14-16 12:00 AM,0
3-14-16 12:00 AM,0
3-15-16 12:00 AM,2.2
3-15-16 12:00 AM,3.6
3-15-16 12:00 AM,1.3
3-16-16 12:00 AM,2.2
3-16-16 12:00 AM,0.9
3-16-16 12:00 AM,4.9
3-16-16 12:00 AM,2.2
3-17-16 12:00 AM,1.3
3-17-16 12:00 AM,7.2
3-17-16 12:00 AM,0.9
3-17-16 12:00 AM,0
3-18-16 12:00 AM,0.9
3-18-16 12:00 AM,1.3
3-18-16 12:00 AM,0
3-18-16 12:00 AM,2.2
3-19-16 12:00 AM,0
3-19-16 12:00 AM,4
3-19-16 12:00 AM,0
3-19-16 12:00 AM,3.6
3-20-16 12:00 AM,5.4
3-20-16 12:00 AM,5.8
3-20-16 12:00 AM,0
3-21-16 12:00 AM,4
3-21-16 12:00 AM,2.2
3-21-16 12:00 AM,4
3-21-16 12:00 AM,4.9
3-22-16 12:00 AM,0
3-22-16 12:00 AM,2.2
3-22-16 12:00 AM,4
3-23-16 12:00 AM,3.6
3-23-16 12:00 AM,1.3
3-23-16 12:00 AM,1.3
3-23-16 12:00 AM,1.3
3-24-16 12:00 AM,1.3
3-24-16 12:00 AM,0.4
3-24-16 12:00 AM,3.6
3-24-16 12:00 AM,4
3-25-16 12:00 AM,2.2
3-25-16 12:00 AM,2.7
3-25-16 12:00 AM,0.4
3-25-16 12:00 AM,1.8
3-26-16 12:00 AM,1.3
3-26-16 12:00 AM,4.5
3-26-16 12:00 AM,0
3-26-16 12:00 AM,0.9
3-27-16 12:00 AM,0
3-27-16 12:00 AM,3.6
3-27-16 12:00 AM,1.3
3-28-16 12:00 AM,1.8
3-28-16 12:00 AM,3.1
3-28-16 12:00 AM,0
3-28-16 12:00 AM,1.3
3-29-16 12:00 AM,3.1
3-29-16 12:00 AM,0.4
3-29-16 12:00 AM,0
3-30-16 12:00 AM,0
3-30-16 12:00 AM,0.4
3-30-16 12:00 AM,0.4
