date,value
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,180
01-07-15,56
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,180
01-07-15,56
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,180
01-07-15,56
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,180
01-07-15,56
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,180
01-07-15,56
01-07-15,91
01-07-15,1030
01-07-15,0
01-07-15,10
01-07-15,50
01-07-15,0
01-07-15,58
01-07-15,1082
01-07-15,109
01-07-15,36
01-07-15,48
01-07-15,991
01-07-15,0
01-07-15,5
01-07-15,30
01-07-15,0
01-07-15,58
01-07-15,993
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,808
01-06-15,421
01-06-15,723
01-06-15,639
01-06-15,1291
01-06-15,259
01-06-15,388
01-06-15,299
01-06-15,84
01-06-15,5533
01-06-15,201
01-06-15,130
01-06-15,127
01-06-15,221
01-06-15,996
01-06-15,84
01-06-15,122
01-06-15,180
01-06-15,79
01-06-15,996
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,1537
01-05-15,843
01-05-15,895
01-05-15,2802
01-05-15,282
01-05-15,788
01-05-15,642
01-05-15,802
01-05-15,483
01-05-15,5822
01-05-15,378
01-05-15,267
01-05-15,236
01-05-15,991
01-05-15,66
01-05-15,297
01-05-15,150
01-05-15,211
01-05-15,140
01-05-15,998
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,79
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,79
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,79
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,579
01-04-15,5466
01-04-15,776
01-04-15,926
01-04-15,281
01-04-15,1108
01-04-15,620
01-04-15,371
01-04-15,463
01-04-15,4773
01-04-15,79
01-04-15,135
01-04-15,998
01-04-15,295
01-04-15,224
01-04-15,109
01-04-15,241
01-04-15,119
01-04-15,140
01-04-15,244
01-04-15,998
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,160
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,160
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,160
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,150
01-03-15,81
01-03-15,279
01-03-15,319
01-03-15,311
01-03-15,319
01-03-15,604
01-03-15,190
01-03-15,788
01-03-15,7355
01-03-15,160
01-03-15,66
01-03-15,43
01-03-15,127
01-03-15,102
01-03-15,119
01-03-15,160
01-03-15,292
01-03-15,109
01-03-15,198
01-03-15,993
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,150
01-02-15,269
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,150
01-02-15,269
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,150
01-02-15,269
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,758
01-02-15,975
01-02-15,509
01-02-15,361
01-02-15,107
01-02-15,574
01-02-15,126
01-02-15,1012
01-02-15,614
01-02-15,6162
01-02-15,150
01-02-15,269
01-02-15,353
01-02-15,457
01-02-15,196
01-02-15,188
01-02-15,43
01-02-15,302
01-02-15,41
01-02-15,500
01-02-15,302
01-02-15,998
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,201
01-01-15,180
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,201
01-01-15,180
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,201
01-01-15,180
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,476
01-01-15,323
01-01-15,139
01-01-15,1034
01-01-15,100
01-01-15,434
01-01-15,173
01-01-15,53
01-01-15,177
01-01-15,6067
01-01-15,201
01-01-15,180
01-01-15,170
01-01-15,99
01-01-15,66
01-01-15,996
01-01-15,33
01-01-15,86
01-01-15,89
01-01-15,30
01-01-15,157
01-01-15,996
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,173
01-12-14,2222
01-12-14,102
01-12-14,114
01-12-14,131
01-12-14,262
01-12-14,103
01-12-14,135
01-12-14,284
01-12-14,5080
01-12-14,119
01-12-14,221
01-12-14,173
01-12-14,2222
01-12-14,102
